ZIP,Non-Violet Ct,Violet Ct
77002,148,32
77003,54,7
77004,131,42
77005,30,1
77006,131,16
77007,168,8
77008,102,9
77009,74,28
77010,6,2
77011,36,8
77012,20,13
77013,44,15
77014,2,1
77015,41,9
77016,65,45
77017,62,11
77018,70,16
77019,103,5
77020,60,25
77021,93,28
77022,132,29
77023,56,11
77024,103,6
77025,78,13
77026,55,40
77027,82,3
77028,47,13
77029,20,7
77030,49,6
77031,31,10
77032,80,1
77033,50,31
77034,56,16
77035,61,32
77036,166,51
77037,24,13
77038,13,3
77040,93,23
77041,27,4
77042,131,19
77043,45,15
77044,4,0
77045,54,20
77046,5,0
77047,36,14
77048,28,6
77049,1,0
77050,2,1
77051,47,19
77053,19,12
77054,147,25
77055,91,19
77056,129,7
77057,149,32
77058,13,2
77059,4,0
77060,91,30
77061,87,26
77062,24,2
77063,125,21
77064,18,2
77066,3,0
77067,22,14
77069,2,2
77070,42,4
77071,31,8
77072,133,30
77074,79,31
77075,99,13
77076,58,17
77077,125,18
77078,38,11
77079,66,7
77080,62,21
77081,109,31
77082,112,17
77083,3,1
77084,30,3
77085,32,8
77086,2,0
77087,91,11
77088,63,22
77089,49,6
77090,4,2
77091,64,19
77092,138,24
77093,60,27
77094,13,1
77096,84,20
77098,84,9
77099,116,29
77336,4,3
77338,12,0
77339,43,4
77345,17,1
77365,9,0
77396,20,5
77401,1,2
77478,1,0
77489,23,5
77504,4,1
77541,1,0
77546,52,0
77547,1,0
77598,35,4
